"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010631","epithelial cell migration","27/662","278/19443",1.0818426882945e-06,0.000442092950415711,0.000382196096421699,"Strap/Sparc/Akt1/Adam8/Calr/Fgfbp1/Myh9/Nus1/Tgfbr1/Itgb1bp1/Map4k4/Src/Map2k3/Pxn/Itgb1/Clasp1/Met/Ptk2b/Vhl/Evl/Pkn2/Hif1a/Cib1/Krt16/Rab11a/Itga3/Map2k5",27
"GO:0000070","mitotic sister chromatid segregation","18/662","139/19443",1.19363232583562e-06,0.000442092950415711,0.000382196096421699,"Rad21/Cdca5/Bub3/Tacc3/Ccnb1/Incenp/Zwint/Ncapd2/Aurkb/Smc4/Bod1/Ncapg/Ncaph/Cdca8/Kif2c/Cdc20/Kpnb1/Rab11a",18
"GO:0090132","epithelium migration","27/662","280/19443",1.24344620411169e-06,0.000442092950415711,0.000382196096421699,"Strap/Sparc/Akt1/Adam8/Calr/Fgfbp1/Myh9/Nus1/Tgfbr1/Itgb1bp1/Map4k4/Src/Map2k3/Pxn/Itgb1/Clasp1/Met/Ptk2b/Vhl/Evl/Pkn2/Hif1a/Cib1/Krt16/Rab11a/Itga3/Map2k5",27
"GO:0090130","tissue migration","27/662","282/19443",1.42702606261748e-06,0.000471122461529858,0.000407292551405712,"Strap/Sparc/Akt1/Adam8/Calr/Fgfbp1/Myh9/Nus1/Tgfbr1/Itgb1bp1/Map4k4/Src/Map2k3/Pxn/Itgb1/Clasp1/Met/Ptk2b/Vhl/Evl/Pkn2/Hif1a/Cib1/Krt16/Rab11a/Itga3/Map2k5",27
"GO:0006979","response to oxidative stress","33/662","395/19443",2.15737680426672e-06,0.00066475970595472,0.000574694901683964,"Mgst1/Casp6/Prdx4/Atp2a2/Melk/Akt1/Mcl1/Mmp3/Eif2s1/Xbp1/Txnrd1/Gsr/Fos/Src/Ndufs8/Casp3/Gfer/Nfkb1/Lcn2/Ndufa12/Met/Ptk2b/P4hb/Ppif/Hif1a/Prnp/Pycr2/Akr1b3/Ppargc1b/Sod1/Adnp2/Sod2/Rps3",33
"GO:0034660","ncRNA metabolic process","34/662","415/19443",2.34028015814396e-06,0.000676048430683838,0.000584454176336479,"Wbp11/Ddx18/Nhp2/Lyar/Ints5/Sephs2/Riok1/Mettl6/Pa2g4/Bop1/Wdr36/Gars/Nop14/Nol6/Farsa/Iars/Suv39h1/Nfkb1/Exosc8/Nars/Gtf2h5/Yars2/Rexo4/Adar/Dkc1/Hars/Ddx21/Qtrt1/Ftsj3/Wdr75/Znhit3/Dph3/Ddx49/Tars",34
"GO:0034504","protein localization to nucleus","25/662","269/19443",5.90495852278179e-06,0.00154946736649855,0.00133953816375424,"Kpna2/Akt1/Calr/Polr1a/Xpo1/Nup155/Pom121/Nfkbia/Xbp1/Src/Tardbp/Flna/Ipo5/Dnajb6/Arl2bp/Adar/Ipo4/Nup133/Chchd10/Osbpl8/Trim8/Ipo9/Cdk1/Kpnb1/Tor1aip2",25
"GO:0006405","RNA export from nucleus","12/662","73/19443",6.0342736038455e-06,0.00154946736649855,0.00133953816375424,"Abce1/Xpo1/Nup155/Thoc1/Nol6/Cpsf6/Xpot/Nup133/Phax/Ddx39/Iws1/Eny2",12
"GO:0006364","rRNA processing","20/662","188/19443",6.86004196740239e-06,0.00166879547228073,0.00144269913065149,"Wbp11/Ddx18/Nhp2/Lyar/Riok1/Pa2g4/Bop1/Wdr36/Nop14/Nol6/Suv39h1/Exosc8/Gtf2h5/Rexo4/Dkc1/Ddx21/Ftsj3/Wdr75/Znhit3/Ddx49",20
"GO:2001234","negative regulation of apoptotic signaling pathway","22/662","224/19443",8.85966154313282e-06,0.00204746778261799,0.00177006711672275,"Dnaja1/Pea15a/Akt1/Acvr1/Mcl1/Psme3/Xbp1/Tgfbr1/Itga6/Src/Cd44/Icam1/Creb3/Aatf/Gnai2/Slc25a5/Hmgb2/Ppif/Hif1a/Hyou1/Sod2/Map2k5",22
"GO:1904851","positive regulation of establishment of protein localization to telomere","5/662","10/19443",9.85328281841795e-06,0.00216866062793942,0.00187484017938419,"Cct7/Cct5/Cct2/Dkc1/Cct3",5
"GO:0006611","protein export from nucleus","15/662","118/19443",1.15058533237671e-05,0.00241727518465689,0.00208977125440287,"Abce1/Calr/Xpo1/Hspa9/Nup155/Thoc1/Nol6/Xpot/Adar/Nup133/Sfn/Ddx39/Ranbp3/Iws1/Eny2",15
"GO:0051186","cofactor metabolic process","30/662","372/19443",1.24290306738513e-05,0.00249769477280612,0.00215929521455101,"Mgst1/Prdx4/Rfk/Nadk/Gart/Ahcy/Nfu1/Hspa9/Mmp3/Txnrd1/Gsr/Dld/Qdpr/Txnrd3/Dlat/Cyb5r4/Hmbs/Hmgcr/Pcmt1/Spr/Mthfd1/Mat2a/Slc25a39/Ciapin1/Akr1b3/Akr1b8/Ptges/Sod1/Sod2/Gsto1",30
"GO:0006613","cotranslational protein targeting to membrane","6/662","17/19443",1.36708602723976e-05,0.0025186771250925,0.00217743477802982,"Sec61a1/Tram2/Sec63/Srpr/Tram1/Arl6ip1",6
"GO:0016072","rRNA metabolic process","20/662","197/19443",1.38051963145402e-05,0.0025186771250925,0.00217743477802982,"Wbp11/Ddx18/Nhp2/Lyar/Riok1/Pa2g4/Bop1/Wdr36/Nop14/Nol6/Suv39h1/Exosc8/Gtf2h5/Rexo4/Dkc1/Ddx21/Ftsj3/Wdr75/Znhit3/Ddx49",20
"GO:0062197","cellular response to chemical stress","27/662","319/19443",1.42292249973076e-05,0.0025186771250925,0.00217743477802982,"Mgst1/Dnaja1/Atp2a2/Melk/Akt1/Mcl1/Mmp3/Eif2s1/Xbp1/Gsr/Fos/Src/Casp3/Gfer/Lcn2/Met/P4hb/Ppif/Hif1a/Pycr2/Akr1b3/Ppargc1b/Serpinb6a/Sod1/Adnp2/Sod2/Rps3",27
"GO:0034599","cellular response to oxidative stress","24/662","266/19443",1.48399255203067e-05,0.0025186771250925,0.00217743477802982,"Mgst1/Atp2a2/Melk/Akt1/Mcl1/Mmp3/Eif2s1/Xbp1/Gsr/Fos/Src/Gfer/Lcn2/Met/P4hb/Ppif/Hif1a/Pycr2/Akr1b3/Ppargc1b/Sod1/Adnp2/Sod2/Rps3",24
"GO:0140014","mitotic nuclear division","23/662","249/19443",1.5258104608955e-05,0.0025186771250925,0.00217743477802982,"Rad21/Ube2s/Cdca5/Bub3/Tacc3/Ccnb1/Ranbp1/Incenp/Zwint/Ncapd2/Aurkb/Flna/Smc4/Clasp1/Bod1/Ncapg/Met/Ncaph/Cdca8/Kif2c/Cdc20/Kpnb1/Rab11a",23
"GO:0006403","RNA localization","18/662","167/19443",1.63589463966096e-05,0.00260727759465964,0.00225403123490127,"G3bp2/Abce1/Xpo1/Nup155/Pom121/Thoc1/Nol6/Cpsf6/Xpot/Nup43/Cct2/Nup133/Dkc1/Phax/Ddx39/Znhit3/Iws1/Eny2",18
"GO:0070203","regulation of establishment of protein localization to telomere","5/662","11/19443",1.7557563118802e-05,0.00270503522450343,0.00233854419645517,"Cct7/Cct5/Cct2/Dkc1/Cct3",5
"GO:0031647","regulation of protein stability","24/662","271/19443",2.01929123683082e-05,0.00291992466112083,0.00252431939092547,"Vps35/Cct7/Pex19/Cct5/Flot2/Calr/Naa15/Xbp1/B4galt5/Src/Tardbp/Casp3/Flna/Apbb2/Kat2a/Gnaq/Cct2/Usp3/Hsp90aa1/Derl1/Ipo9/Cct3/Prnp/Kras",24
"GO:0007059","chromosome segregation","26/662","307/19443",2.02158349536708e-05,0.00291992466112083,0.00252431939092547,"Rad21/Cdca5/Bub3/Tacc3/Smc6/Ccnb1/Incenp/Zwint/Ncapd2/Aurkb/Cenpt/Cenpf/Smc4/Bod1/Ncapg/Nup43/Ncaph/Cdca8/Slc25a5/Cdca2/Kif2c/Cdc20/Kpnb1/Rab11a/Rad18/Rps3",26
"GO:0001667","ameboidal-type cell migration","31/662","404/19443",2.37089407144956e-05,0.00332068860552724,0.00287078593149045,"Zfand5/Strap/Sparc/Akt1/Acvr1/Adam8/Calr/Fgfbp1/Myh9/Nus1/Tgfbr1/Itgb1bp1/Map4k4/Schip1/Src/Map2k3/Pxn/Arhgdib/Itgb1/Clasp1/Met/Ptk2b/Vhl/Evl/Pkn2/Hif1a/Cib1/Krt16/Rab11a/Itga3/Map2k5",31
"GO:1903829","positive regulation of cellular protein localization","25/662","293/19443",2.56356231291294e-05,0.00348493676773047,0.00301278097207972,"Cct7/Akt1/Cct5/Xbp1/Msn/Itgb1bp1/Tm9sf4/Src/Tardbp/Flna/Itgb1/Ipo5/Cct2/Dkc1/Gpd1l/Trim8/Cct3/Prnp/Cdk1/Cib1/Sfn/Rab11a/Stom/Itga3/Ssh1",25
"GO:0000819","sister chromatid segregation","18/662","173/19443",2.64379681922927e-05,0.00349132254242219,0.00301830157166746,"Rad21/Cdca5/Bub3/Tacc3/Ccnb1/Incenp/Zwint/Ncapd2/Aurkb/Smc4/Bod1/Ncapg/Ncaph/Cdca8/Kif2c/Cdc20/Kpnb1/Rab11a",18
"GO:0070202","regulation of establishment of protein localization to chromosome","5/662","12/19443",2.92549583507965e-05,0.00375601159714948,0.00324712929531063,"Cct7/Cct5/Cct2/Dkc1/Cct3",5
"GO:0010634","positive regulation of epithelial cell migration","16/662","143/19443",3.01082367899036e-05,0.00376108839034958,0.00325151826044023,"Sparc/Akt1/Calr/Fgfbp1/Nus1/Itgb1bp1/Map4k4/Src/Map2k3/Clasp1/Met/Ptk2b/Hif1a/Cib1/Rab11a/Itga3",16
"GO:0006413","translational initiation","13/662","100/19443",3.43575573061672e-05,0.00417896394392381,0.00361277804803908,"Eif5/Eif3c/Abce1/Eif2s1/Eif4e2/Rps6kb2/Eif2s3x/Eif1a/Ythdf3/Eif5b/Eif4ebp1/Ythdf1/Eif2s2",13
"GO:2000573","positive regulation of DNA biosynthetic process","11/662","74/19443",3.89941907657094e-05,0.0046213115312592,0.0039951942819604,"Cct7/Cct5/Src/Aurkb/Gfer/Cct2/Ptk2b/Hsp90aa1/Dkc1/Cct3/Rfc2",11
"GO:1902532","negative regulation of intracellular signal transduction","35/662","495/19443",4.01300825464383e-05,0.00463703103824095,0.00400878403542842,"Dnaja1/Ndufc2/Akt1/Mcl1/Tnfaip1/Mmp3/Rabgef1/Xbp1/Spry2/Itgb1bp1/Fbln1/Src/Cd44/Creb3/Ptprj/Itgb1/Hmgcr/Dlg5/Met/Gnai2/Gpd1l/Otud7a/Ptpn2/Ppif/Stat1/Hif1a/Prnp/Cib1/Phlda3/Hyou1/Dyrk1a/Sod2/Itga3/Rasa2/Gsto1",35
"GO:0051017","actin filament bundle assembly","17/662","164/19443",4.60959730501406e-05,0.00508505656501042,0.00439610893456457,"Marcks/Fscn1/Limk1/Tnfaip1/Tgfbr1/Itgb1bp1/Src/Cald1/Mtss1/Pxn/Flna/Clasp1/Actn1/Met/Ptk2b/Evl/Ppfia1",17
"GO:1904816","positive regulation of protein localization to chromosome, telomeric region","5/662","13/19443",4.62077835851229e-05,0.00508505656501042,0.00439610893456457,"Cct7/Cct5/Cct2/Dkc1/Cct3",5
"GO:0071426","ribonucleoprotein complex export from nucleus","10/662","63/19443",4.90128117762276e-05,0.00526830734952846,0.00455453203188641,"Abce1/Xpo1/Nup155/Thoc1/Nol6/Xpot/Nup133/Ddx39/Iws1/Eny2",10
"GO:0017038","protein import","19/662","199/19443",5.2681307193826e-05,0.00553393186022417,0.00478416847147759,"Kpna2/Pex19/Akt1/Nup155/Pom121/Nfkbia/Xbp1/Tardbp/Tomm40/Flna/Rab8b/Ipo5/Adar/Ipo4/Nup133/Hsp90aa1/Timm44/Ipo9/Kpnb1",19
"GO:0071166","ribonucleoprotein complex localization","10/662","64/19443",5.63409018632689e-05,0.00578683663137841,0.00500280850229166,"Abce1/Xpo1/Nup155/Thoc1/Nol6/Xpot/Nup133/Ddx39/Iws1/Eny2",10
"GO:0061572","actin filament bundle organization","17/662","167/19443",5.80004941858109e-05,0.00582778878536561,0.00503821226382925,"Marcks/Fscn1/Limk1/Tnfaip1/Tgfbr1/Itgb1bp1/Src/Cald1/Mtss1/Pxn/Flna/Clasp1/Actn1/Met/Ptk2b/Evl/Ppfia1",17
"GO:0034470","ncRNA processing","26/662","330/19443",6.86759643339077e-05,0.0067208216913914,0.00581025282755739,"Wbp11/Ddx18/Nhp2/Lyar/Ints5/Sephs2/Riok1/Mettl6/Pa2g4/Bop1/Wdr36/Nop14/Nol6/Suv39h1/Exosc8/Gtf2h5/Rexo4/Adar/Dkc1/Ddx21/Qtrt1/Ftsj3/Wdr75/Znhit3/Dph3/Ddx49",26
"GO:0006612","protein targeting to membrane","13/662","107/19443",7.04147680251522e-05,0.0067208216913914,0.00581025282755739,"Sec61a1/Pex19/Rabgef1/Tram2/Sec63/Itgb1bp1/Srpr/Tram1/Rab8b/Prnp/Cib1/Stom/Arl6ip1",13
"GO:0034405","response to fluid shear stress","6/662","22/19443",7.12505977668062e-05,0.0067208216913914,0.00581025282755739,"Ass1/Akt1/Xbp1/Src/Mtss1/Ptk2b",6
"GO:0009161","ribonucleoside monophosphate metabolic process","7/662","32/19443",8.22699268416175e-05,0.00749314163373075,0.00647793519361451,"Impdh2/Rfk/Gart/Ak1/Ampd3/Ppat/Aprt",7
"GO:0006260","DNA replication","21/662","241/19443",8.26807060407331e-05,0.00749314163373075,0.00647793519361451,"Rbbp7/Nasp/Rrm2/Dnajc2/Tnfaip1/Ccna2/Pcna/Prim2/Thoc1/Fam111a/Ssrp1/Pold4/Zmpste24/Rbms1/Mcm2/Met/Mcm5/Cdk1/Cacybp/Grwd1/Rfc2",21
"GO:0090407","organophosphate biosynthetic process","30/662","414/19443",9.10348029220206e-05,0.00801455833624179,0.00692870788320705,"Impdh2/Tpi1/Pigq/Rrm2/Rfk/Nadk/Capn2/Atp5j2/Gart/Ndufc2/Atp5e/Nus1/Ak1/Ampd3/Dld/Cdipt/Gars/Plcb4/Dlat/Pigk/Ppat/Ptdss2/Ptk2b/Mthfd1/Impa1/Cad/Pigf/Aprt/Dtymk/Serinc1",30
"GO:0042176","regulation of protein catabolic process","28/662","375/19443",9.32117696955215e-05,0.00801455833624179,0.00692870788320705,"Vps35/Zfand2a/Il33/Serpinb1a/Akt1/Adam8/Ube2j1/Psme3/Xpo1/Furin/Uchl5/Xbp1/Msn/Ldlr/Sdcbp/Ubac2/Flna/Hmgcr/Odc1/Psmd1/Dda1/Ptk2b/Vhl/Hsp90aa1/Ubqln4/Tiparp/Rad23b/Fbxl20",28
"GO:0009156","ribonucleoside monophosphate biosynthetic process","6/662","23/19443",9.36361207609382e-05,0.00801455833624179,0.00692870788320705,"Impdh2/Rfk/Gart/Ampd3/Ppat/Aprt",6
"GO:0007076","mitotic chromosome condensation","5/662","15/19443",0.000101870279996079,0.00840793632396207,0.0072687891515999,"Cdca5/Ncapd2/Smc4/Ncapg/Ncaph",5
"GO:1904814","regulation of protein localization to chromosome, telomeric region","5/662","15/19443",0.000101870279996079,0.00840793632396207,0.0072687891515999,"Cct7/Cct5/Cct2/Dkc1/Cct3",5
"GO:0046034","ATP metabolic process","20/662","227/19443",0.000104161206314421,0.00844619465939038,0.00730186406591949,"Tpi1/Cox5a/Atp5j2/Ndufc2/Atp5e/Ldha/Ccnb1/Ak1/Ampd3/Dld/Ndufs8/Ola1/Ndufa12/Chchd10/Tspo/Ppif/Hif1a/Cdk1/Nudt5/Ndufb9",20
"GO:0050657","nucleic acid transport","15/662","143/19443",0.000111125982462614,0.00870549645664746,0.00752603442333776,"G3bp2/Abce1/Xpo1/Nup155/Pom121/Thoc1/Nol6/Cpsf6/Xpot/Nup43/Nup133/Phax/Ddx39/Iws1/Eny2",15
"GO:0050658","RNA transport","15/662","143/19443",0.000111125982462614,0.00870549645664746,0.00752603442333776,"G3bp2/Abce1/Xpo1/Nup155/Pom121/Thoc1/Nol6/Cpsf6/Xpot/Nup43/Nup133/Phax/Ddx39/Iws1/Eny2",15
"GO:0051188","cofactor biosynthetic process","17/662","177/19443",0.000119563994274628,0.00895086927755881,0.00773816296832386,"Rfk/Nadk/Gart/Nfu1/Hspa9/Dld/Qdpr/Dlat/Hmbs/Spr/Mthfd1/Mat2a/Slc25a39/Ciapin1/Sod1/Sod2/Gsto1",17
"GO:0070199","establishment of protein localization to chromosome","6/662","24/19443",0.000121273621989979,0.00895086927755881,0.00773816296832386,"Cct7/Cct5/Ruvbl2/Cct2/Dkc1/Cct3",6
"GO:0043534","blood vessel endothelial cell migration","13/662","113/19443",0.000123886553791213,0.00895086927755881,0.00773816296832386,"Akt1/Adam8/Fgfbp1/Myh9/Nus1/Itgb1bp1/Map2k3/Itgb1/Ptk2b/Vhl/Hif1a/Cib1/Map2k5",13
"GO:0031424","keratinization","7/662","34/19443",0.000123941071779265,0.00895086927755881,0.00773816296832386,"Krt6b/Krt6a/Cdh3/Pphln1/Sfn/Krt16/Cyp26b1",7
"GO:0071634","regulation of transforming growth factor beta production","7/662","34/19443",0.000123941071779265,0.00895086927755881,0.00773816296832386,"Furin/Atp6ap2/Cdh3/Atf2/Met/Hif1a/Ltbp1",7
"GO:0006575","cellular modified amino acid metabolic process","16/662","161/19443",0.000126177972445316,0.00897222444065003,0.00775662483242787,"Mgst1/Prdx4/Ass1/Gart/Ahcy/Gsr/Txnrd3/Pcmt1/Serinc2/Ptdss2/Aldh9a1/Mthfd1/Ptges/Sod1/Serinc1/Sod2",16
"GO:1901607","alpha-amino acid biosynthetic process","9/662","58/19443",0.000139460908203199,0.00937647947876815,0.00810610947673686,"Ass1/Got2/Sephs2/Gls/Mthfd1/Enoph1/Cad/Pycr2/Psat1",9
"GO:2001233","regulation of apoptotic signaling pathway","29/662","404/19443",0.000139613979183549,0.00937647947876815,0.00810610947673686,"Dnaja1/Pea15a/Akt1/Acvr1/Mcl1/Psme3/Fem1b/Xbp1/Tgfbr1/Itga6/Src/Cd44/Icam1/Creb3/Aatf/Vhl/Gnai2/Slc25a5/Chchd10/Hmgb2/P4hb/Ptpn2/Ppif/Hif1a/Sod1/Hyou1/Sod2/Rps3/Map2k5",29
"GO:0051236","establishment of RNA localization","15/662","146/19443",0.000140405344260757,0.00937647947876815,0.00810610947673686,"G3bp2/Abce1/Xpo1/Nup155/Pom121/Thoc1/Nol6/Cpsf6/Xpot/Nup43/Nup133/Phax/Ddx39/Iws1/Eny2",15
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane","5/662","16/19443",0.000144035059063725,0.00937647947876815,0.00810610947673686,"Sec61a1/Tram2/Sec63/Srpr/Tram1",5
"GO:0070200","establishment of protein localization to telomere","5/662","16/19443",0.000144035059063725,0.00937647947876815,0.00810610947673686,"Cct7/Cct5/Cct2/Dkc1/Cct3",5
"GO:0071498","cellular response to fluid shear stress","5/662","16/19443",0.000144035059063725,0.00937647947876815,0.00810610947673686,"Ass1/Xbp1/Src/Mtss1/Ptk2b",5
"GO:0043542","endothelial cell migration","18/662","198/19443",0.000153774108818724,0.00987144348555751,0.00853401340754203,"Sparc/Akt1/Adam8/Calr/Fgfbp1/Myh9/Nus1/Tgfbr1/Itgb1bp1/Map2k3/Pxn/Itgb1/Met/Ptk2b/Vhl/Hif1a/Cib1/Map2k5",18
"GO:2001252","positive regulation of chromosome organization","17/662","182/19443",0.000167813632409348,0.0106251316300823,0.00918558830030117,"Cct7/Rad21/Cct5/Mtf2/Ccnb1/Xbp1/Ruvbl2/Jarid2/Aurkb/Kat2a/Suv39h1/Cct2/Pphln1/Kdm2a/Dkc1/Rps6ka4/Cct3",17
"GO:0071604","transforming growth factor beta production","7/662","36/19443",0.000181290499647948,0.0113233066131461,0.00978917121854352,"Furin/Atp6ap2/Cdh3/Atf2/Met/Hif1a/Ltbp1",7
"GO:1901293","nucleoside phosphate biosynthetic process","18/662","201/19443",0.000185675162900382,0.0114277991459471,0.00987950660639391,"Impdh2/Rrm2/Rfk/Nadk/Atp5j2/Gart/Ndufc2/Atp5e/Ak1/Ampd3/Dld/Gars/Dlat/Ppat/Mthfd1/Cad/Aprt/Dtymk",18
"GO:0090150","establishment of protein localization to membrane","19/662","219/19443",0.000187908423862392,0.0114277991459471,0.00987950660639391,"Vps35/Rab31/Sec61a1/Pex19/Rabgef1/Tram2/Sec63/Itgb1bp1/Srpr/Tram1/Tomm40/Rab8b/Hsp90aa1/Sys1/Prnp/Cib1/Rab11a/Stom/Arl6ip1",19
"GO:0006323","DNA packaging","17/662","184/19443",0.000191425313429373,0.0114904908918255,0.00993370457659466,"Nasp/Cdca5/Ccnb1/Asf1a/Ncapd2/Set/Smc4/Suv39h1/Ncapg/Nap1l1/Mcm2/Pphln1/Ipo4/Ncaph/Cdk1/Gatad1/Grwd1",17
"GO:0008652","cellular amino acid biosynthetic process","9/662","61/19443",0.000207425411215843,0.0122912852646106,0.0106260035219344,"Ass1/Got2/Sephs2/Gls/Mthfd1/Enoph1/Cad/Pycr2/Psat1",9
"GO:0016051","carbohydrate biosynthetic process","17/662","186/19443",0.000217882935322183,0.0127475307222675,0.0110204346766556,"Tpi1/Akt1/Gpd2/Fam3c/B4galt1/B3gnt2/St3gal2/B4galt5/Nfkb1/Gfpt1/Ptk2b/Ptpn2/Hif1a/Akr1b3/Hs2st1/Gsto1/Ext2",17
"GO:0045454","cell redox homeostasis","9/662","62/19443",0.000235429419809734,0.0135308559054585,0.0116976312412308,"Prdx4/Txnrd1/Gsr/Dld/Erp44/Txnrd3/Txndc9/Txnl1/P4hb",9
"GO:0010632","regulation of epithelial cell migration","19/662","223/19443",0.000237126639624001,0.0135308559054585,0.0116976312412308,"Strap/Sparc/Akt1/Calr/Fgfbp1/Nus1/Itgb1bp1/Map4k4/Src/Map2k3/Clasp1/Met/Ptk2b/Evl/Hif1a/Cib1/Rab11a/Itga3/Map2k5",19
"GO:0042026","protein refolding","6/662","27/19443",0.000244479782214287,0.0137803116267614,0.0119132895158592,"Dnaja2/Hspa9/Ppih/Ppig/Hsp90aa1/Ppif",6
"GO:0006278","RNA-dependent DNA biosynthetic process","9/662","63/19443",0.000266498854481985,0.0146637822073302,0.0126770633034288,"Cct7/Nhp2/Cct5/Src/Aurkb/Cct2/Hsp90aa1/Dkc1/Cct3",9
"GO:0007004","telomere maintenance via telomerase","9/662","63/19443",0.000266498854481985,0.0146637822073302,0.0126770633034288,"Cct7/Nhp2/Cct5/Src/Aurkb/Cct2/Hsp90aa1/Dkc1/Cct3",9
"GO:0045333","cellular respiration","15/662","155/19443",0.000271923724489088,0.0147862524069243,0.0127829406583353,"Cox5a/Ndufc2/Mdh2/Ccnb1/Ide/Dld/Ndufs8/Dlat/Idh3a/Ndufa12/Aco2/Hif1a/Cdk1/Ndufb9/Sod2",15
"GO:0051353","positive regulation of oxidoreductase activity","8/662","51/19443",0.000302172593764402,0.0160585578037142,0.013882868073265,"Rfk/Akt1/Nus1/Cdh3/Ptk2b/Gnai2/Chchd10/Kras",8
"GO:0009167","purine ribonucleoside monophosphate metabolic process","6/662","28/19443",0.000302270560130493,0.0160585578037142,0.013882868073265,"Impdh2/Gart/Ak1/Ampd3/Ppat/Aprt",6
"GO:0006986","response to unfolded protein","12/662","109/19443",0.00033786921114853,0.0175449811256779,0.0151679036992583,"Serp1/Dnajb9/Calr/Hspa9/Xbp1/Canx/Erp44/Creb3/Manf/Hsp90aa1/Derl1/Ptpn2",12
